Product,Price,Search Item,Link
Men's Modern,$9.99,Nike,https://amazon.com/Nike-Classic-Cushion-Soccer-Football/dp/B01MS25XM2/ref=sr_1_1?keywords=Nike&qid=1686257066&sr=8-1
Women's Modern,$12.75,Nike,https://amazon.com/Unisex-Nike-Classic-Cushion-Football/dp/B01GQMXRVE/ref=sr_1_2?keywords=Nike&qid=1686257066&sr=8-2
"Men's U Classic Ii Cush OTC-Team Socks, Green, Youth Large / 11-13",$15.00,Nike,https://amazon.com/Nike-Unisexs-Classic-OTC-Team-Socks/dp/B005ODC4QQ/ref=sr_1_3?keywords=Nike&qid=1686257066&sr=8-3
