Product,Price,Search Item,Link
Women's Modern,$15.00,Nike,https://amazon.com/Unisex-Nike-Classic-Cushion-Football/dp/B01GQMXRVE/ref=sr_1_1?keywords=Nike&qid=1686254541&sr=8-1
"Men's U Classic Ii Cush OTC-Team Socks, Green, Youth Large / 11-13",$17.27,Nike,https://amazon.com/Nike-Unisexs-Classic-OTC-Team-Socks/dp/B005ODC4QQ/ref=sr_1_2?keywords=Nike&qid=1686254541&sr=8-2
Unisex Pro Elite Sleeve 2.0 Elite Sleeve,$12.99,Nike,https://amazon.com/Nike-Elite-Sleeves-Black-X-Large/dp/B07FK9JWSR/ref=sr_1_3?keywords=Nike&qid=1686254541&sr=8-3
